Gender,shoulderlength,waistcircumference,Age,Heightin,Weightlbs
1,142,955,42,67,170
0,144,950,30,67,180
1,145,807,28,64,153
0,158,880,30,68,170
1,127,855,28,63,175
0,150,715,22,71,150
1,150,969,28,69,187
0,153,891,33,70,195
1,135,900,41,63,140
0,143,848,28,69,165
1,140,800,35,66,137
0,156,767,18,70,145
1,140,720,26,67,130
0,142,860,20,72,165
1,143,942,26,68,181
0,154,1069,41,70,214
1,158,1015,27,66,173
0,147,971,33,68,196
1,141,1019,26,63,160
0,159,981,38,70,195
1,146,829,26,62,141
0,151,949,29,71,193
1,150,937,41,66,162
0,160,1055,39,67,190
1,140,885,34,61,122
0,150,980,20,71,202
1,134,816,35,66,168
0,167,1009,34,69,200
1,145,922,31,70,165
0,167,1018,33,72,205
1,128,965,27,64,175
0,141,947,29,68,155
1,130,931,37,64,154
0,136,899,24,64,150
1,143,895,27,68,150
0,168,805,26,68,174
1,133,829,37,66,160
0,156,1189,22,70,260
1,132,980,53,64,165
0,151,1127,24,73,215
1,139,800,27,69,171
0,157,951,29,68,178
1,140,1012,27,66,160
0,153,1003,37,72,210
1,142,801,27,66,145
0,151,946,31,70,190
1,149,915,26,69,171
0,175,864,25,71,171
1,145,937,28,68,168
0,156,939,22,71,180
1,153,811,29,67,142
0,159,1051,25,69,224
1,126,691,44,62,114
0,163,1010,21,74,205
1,138,813,27,64,130
0,166,947,20,69,195
1,125,890,29,62,130
0,157,784,34,68,165
1,121,782,31,61,111
0,148,1007,27,68,191
1,149,927,30,63,147
0,163,873,29,75,190
1,138,874,37,65,135
0,165,1056,21,72,215
1,115,765,31,66,125
0,142,918,28,69,170
1,145,800,26,66,145
0,158,1031,40,71,220
1,155,734,35,69,150
0,160,867,24,73,186
1,144,775,26,70,167
0,161,919,40,71,195
1,139,1061,33,63,170
0,149,997,27,69,225
1,143,926,35,64,170
0,135,1070,38,68,190
1,126,865,34,64,157
0,153,797,23,68,160
1,127,752,26,60,113
0,157,938,23,72,194
1,127,877,31,60,140
0,160,845,24,76,200
1,121,900,24,62,145
0,160,945,32,70,205
1,143,1054,41,67,198
0,148,977,25,65,170
1,135,903,35,63,147
0,164,753,23,70,150
1,129,728,45,63,120
0,149,1002,27,71,195
1,150,947,27,69,163
0,146,1000,36,71,194
1,140,754,26,66,128
0,175,881,21,72,195
1,152,921,32,69,163
0,163,907,29,71,180
1,134,851,33,64,155
0,152,800,33,66,135
1,123,851,26,65,150
0,166,1039,26,76,218
1,135,790,29,66,127
0,147,816,25,68,155
1,150,764,35,69,130
0,160,897,28,76,190
1,133,992,40,63,160
0,150,815,31,71,166
1,140,816,34,64,146
0,161,961,43,70,180
1,125,965,40,62,142
0,146,1022,33,71,195
1,138,975,32,65,162
0,148,1000,25,69,200
1,150,734,23,65,130
0,150,1025,24,69,205
1,148,820,30,68,160
0,151,1007,27,70,213
1,139,848,30,68,155
0,165,777,31,69,148
1,130,925,35,64,160
0,161,845,24,72,180
1,137,927,38,67,160
0,157,799,22,72,170
